348,-30.5,3.48,5.66,0.93,0,2.56
349,-30.5,4.16,5.23,0.92,0.38,2.25
350,-30.4,4.2,4.99,0.75,0.5,2
351,-32.6,4.04,4.64,0.64,0.75,3.25
352,-29.8,4.16,4.74,0.63,1.5,2.13
353,-27.6,4.04,5.13,0.66,0.88,1.75
354,-28.3,4.12,5.25,0.65,0,0.94
355,-30.6,3.22,6.11,1.16,0,2.56
356,-28.2,3.57,6.55,1.06,0,3.56
357,-28.2,3.34,6.37,1.11,0,6.75
358,-26.1,3.15,5.95,1.18,0,8
359,-23.2,3.04,5.93,1.06,0,8
360,-22,3.11,5.55,1.12,0,8
361,-22.7,3.1,5.85,1.14,0,8
362,-22.8,3.19,5.8,1.05,0,8
363,-23.8,3.09,6.28,1.13,0,7.19
364,-24.8,2.86,6.21,1.31,0,8
365,-22.5,2.86,5.64,1.34,0,8
366,-23,2.95,5.56,1.2,0,8
367,-23.1,2.86,5.15,1.14,0,8
368,-23.5,2.86,5.69,1.39,0,8
369,-22.2,2.86,5.61,1.29,0,8
370,-23.3,2.86,5.46,1.19,0,8
371,-23.3,2.99,5.64,1.15,0,8
372,-21.5,2.92,5.52,1.25,0,8
373,-23.2,2.89,5.58,1.27,0,8
374,-19.7,2.86,5.26,1.18,0,8
375,-22.6,2.92,5.44,1.22,0,8
376,-19.7,2.86,5.3,1.15,0,8
377,-21.7,3.04,5.56,1.17,0,8
378,-19,2.86,5.35,1.04,0,7.94
379,-22.5,2.86,5.55,1.33,0,7.44
380,-24.3,2.86,5.61,1.3,0,7
381,-22.5,2.92,5.87,1.22,0,5.5
382,-19.4,2.86,5.32,1.04,0,5.25
383,-22.2,2.86,5.52,1.23,0,3.81
384,-22.5,2.89,5.49,1.15,0,4.19
385,-21.2,2.89,5.05,0.94,0.38,6.06
386,-23.1,2.78,4.77,0.87,0.5,6.63
387,-28.4,2.86,4.24,1.09,0.13,8
388,-30.8,2.86,4.2,1.04,0.13,8
389,-32.1,2.86,4.17,0.88,0.5,7.94
390,-35.2,2.89,4.1,0.99,0.38,7.75
391,-38.7,2.85,3.88,1.01,0,8
392,-40.1,2.41,3.87,0.96,0.25,8
393,-40.7,2.28,3.99,1.05,0.5,8
394,-41.1,2.09,4.08,1.16,0.25,8
395,-42.6,2.47,3.95,1.16,0,7.63
396,-43.1,1.5,3.88,1.13,0,8
397,-43,2.35,3.75,1.02,0,7.69
398,-42.4,1.81,3.94,1.12,0,8
399,-42,1.93,4.04,1.12,0,8
400,-43.6,1.74,3.96,1.16,0,8
401,-44.7,1.77,4.12,1.27,0,8
402,-45.2,1.44,4.22,1.39,0,7.94
403,-47.2,1.56,4.28,1.54,0,7.5
404,-47.5,1.27,4.46,1.55,0,8
405,-47.8,1.29,4.07,1.53,0,8
406,-48.2,1.19,4.28,1.53,0,7.75
407,-47.8,1.48,4.19,1.61,0,6.88
408,-48.7,1.5,4.2,1.71,0,6.06
409,-47.7,1.5,3.93,1.52,0,5.38
410,-48,1.44,4.3,1.76,0,5.69
411,-48.9,1.76,4.73,1.78,0,5.13
412,-49.5,1.58,4.78,1.83,0,6.56
413,-50.9,1.35,4.95,1.9,0,6
414,-50.8,1.52,4.92,1.85,0,5.44
415,-51.8,1.58,4.49,1.86,0,5.38
416,-52.8,1.62,5.08,1.82,0,3.25
417,-53.3,1.29,4.61,1.99,0,3.19
418,-54.7,1.75,4.55,2.01,0,2.5
419,-56.5,1.81,4.16,2.01,0,3.31
420,-57.9,1.73,3.65,1.78,0,4.75
421,-59.5,1.37,3.08,1.84,0,4
422,-59.7,1.54,2.99,1.82,0,3.38
423,-60.6,1.19,3.31,1.71,0,1.69
424,-61.1,1.69,2.73,1.37,0,2.13
425,-61.5,1.37,3.23,1.84,0,2.31
426,-61,1.53,3.24,1.81,0,2.56
427,-61.2,1.37,3.57,1.93,0,1.31
428,-62.9,1.17,2.84,1.85,0,1
429,-60,1.89,3.21,1.96,0,0.88
430,-56.9,1.77,4.48,2.36,0,0.88
431,-56.2,1.27,3.76,2.2,0,1.75
432,-56.6,1.6,3.58,2.14,0,1
433,-60.6,1.44,2.82,1.73,0,1.25
434,-55.8,1.66,4.23,1.86,0,3.5
435,-52.5,1.37,4.56,1.88,0,3.31
